episode_name|episode_link
Simpsons Roasting On An Open Fire|https://nohomers.net/forums/index.php?threads/r-r-simpsons-roasting-on-an-open-fire.19086/
Bart the Genius|https://nohomers.net/forums/index.php?threads/rate-review-bart-the-genius.22736/
Homer's Odyssey|https://nohomers.net/forums/index.php?threads/homers-odyssey.20648/
There's No Disgrace Like Home|https://nohomers.net/forums/index.php?threads/rate-and-review-theres-no-disgrace-like-home-7g04.22009/
Bart the General|https://nohomers.net/forums/index.php?threads/r-r-bart-the-general.21108/
Moaning Lisa|https://nohomers.net/forums/index.php?threads/r-r-moaning-lisa.21156/
Call of the Simpsons|https://nohomers.net/forums/index.php?threads/r-r-call-of-the-simpsons.17207/
The Telltale Head|https://nohomers.net/forums/index.php?threads/r-r-the-telltale-head.21157/
Life on the Fast Lane|https://nohomers.net/forums/index.php?threads/r-r-life-on-the-fast-lane.19363/
Homer's Night Out|https://nohomers.net/forums/index.php?threads/r-r-homers-night-out.23143/
The Crepes of Wrath|https://nohomers.net/forums/index.php?threads/r-r-the-crepes-of-wrath.21106/
Krusty Gets Busted|https://nohomers.net/forums/index.php?threads/r-r-krusty-gets-busted.15013/
Some Enchanted Evening|https://nohomers.net/forums/index.php?threads/r-r-7g01-some-enchanted-evening.16911/
Bart Gets An 'F'|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-an-f.19697/
Simpson and Delilah|https://nohomers.net/forums/index.php?threads/r-r-simpson-and-delilah.19751/
Treehouse of Horror|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror.19752/
Two Cars In Every Garage, Three Eyes On Every Fish|https://nohomers.net/forums/index.php?threads/r-r-two-cars-in-every-garage-three-eyes-on-every-fish.19574/
Dancin' Homer|https://nohomers.net/forums/index.php?threads/r-r-dancin-homer.17522/
Dead Putting Society|https://nohomers.net/forums/index.php?threads/rate-review-dead-putting-society-7f08.14825/
Bart vs. Thanksgiving|https://nohomers.net/forums/index.php?threads/bart-vs-thanksgiving.19658/
Bart The Daredevil|https://nohomers.net/forums/index.php?threads/r-r-bart-the-daredevil-15-years-on.21627/
Itchy & Scratchy & Marge|https://nohomers.net/forums/index.php?threads/r-r-itchy-scratchy-marge.19850/
Bart Gets Hit by a Car|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-hit-by-a-car.16545/
One Fish, Two Fish, Blowfish, Blue Fish|https://nohomers.net/forums/index.php?threads/r-r-one-fish-two-fish-blowfish-bluefish.14377/
The Way We Was|https://nohomers.net/forums/index.php?threads/rate-and-review-the-way-we-was.16844/
Homer vs. Lisa & the 8th Commandment|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-lisa-and-the-8th-commandment.12837/
Principal Charming|https://nohomers.net/forums/index.php?threads/r-r-principal-charming.20069/
Oh Brother, Where Art Thou?|https://nohomers.net/forums/index.php?threads/r-r-oh-brother-where-art-thou.23463/
Bart's Dog Gets an F|https://nohomers.net/forums/index.php?threads/r-r-barts-dog-gets-an-f.22861/
Old Money|https://nohomers.net/forums/index.php?threads/rate-and-review-old-money.12849/
Brush With Greatness|https://nohomers.net/forums/index.php?threads/score-summarize-brush-with-greatness.21202/
Lisa's Substitute|https://nohomers.net/forums/index.php?threads/r-r-lisas-substitute.19036/
The War Of The Simpsons|https://nohomers.net/forums/index.php?threads/r-r-the-war-of-the-simpsons.13700/
Three Men and a Comic Book|https://nohomers.net/forums/index.php?threads/r-r-three-men-and-a-comic-book.21334/
Blood Feud|https://nohomers.net/forums/index.php?threads/r-r-blood-feud.10892/
Stark Raving Dad|https://nohomers.net/forums/index.php?threads/r-r-stark-raving-dad.23469/
Mr. Lisa Goes To Washington|https://nohomers.net/forums/index.php?threads/r-r-mr-lisa-goes-to-washington.14793/
When Flanders Failed|https://nohomers.net/forums/index.php?threads/rate-and-review-when-flanders-failed.18927/
Bart The Murderer|https://nohomers.net/forums/index.php?threads/r-r-bart-the-murderer.16153/
Homer Defined|https://nohomers.net/forums/index.php?threads/r-r-homer-defined.18839/
Like Father, Like Clown|https://nohomers.net/forums/index.php?threads/rate-review-like-father-like-clown.23184/
Treehouse of Horror II|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-ii.17311/
Lisa's Pony|https://nohomers.net/forums/index.php?threads/r-r-lisas-pony.23482/
Saturdays of Thunder|https://nohomers.net/forums/index.php?threads/rate-and-review-saturdays-of-thunder.13383/
Flaming Moe's|https://nohomers.net/forums/index.php?threads/r-r-flaming-moes.19588/
Burns Verkaufen Der Kraftwerk|https://nohomers.net/forums/index.php?threads/r-r-burns-verkaufen-der-kraftwerk.14069/
I Married Marge|https://nohomers.net/forums/index.php?threads/ratenreview-i-married-marge.13698/
Radio Bart|https://nohomers.net/forums/index.php?threads/r-r-radio-bart.19563/
Lisa The Greek|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-greek.19485/
Homer Alone|https://nohomers.net/forums/index.php?threads/r-r-homer-alone.23474/
Bart the Lover|https://nohomers.net/forums/index.php?threads/r-r-bart-the-lover.14017/
Homer at the Bat|https://nohomers.net/forums/index.php?threads/r-r-homer-at-the-bat.19287/
Separate Vocations|https://nohomers.net/forums/index.php?threads/r-r-separate-vocations.15680/
Dog Of Death|https://nohomers.net/forums/index.php?threads/r-r-dog-of-death.23339/
Colonel Homer|https://nohomers.net/forums/index.php?threads/r-r-colonel-homer.16342/
Black Widower|https://nohomers.net/forums/index.php?threads/r-r-black-widower.19035/
The Otto Show|https://nohomers.net/forums/index.php?threads/r-r-the-otto-show.20012/
Bart's Friend Falls in Love|https://nohomers.net/forums/index.php?threads/rate-review-barts-friend-falls-in-love.13971/
Brother Can You Spare Two Dimes?|https://nohomers.net/forums/index.php?threads/rate-and-review-brother-can-you-spare-me-2-dimes.19749/
Kamp Krusty|https://nohomers.net/forums/index.php?threads/rate-and-review-kamp-krusty.16233/
A Streetcar Named Marge|https://nohomers.net/forums/index.php?threads/rate-and-review-a-streetcar-named-marge.16241/
Homer the Heretic|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-the-heretic.16252/
Lisa the Beauty Queen|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-beauty-queen.16254/
Treehouse of Horror III|https://nohomers.net/forums/index.php?threads/rate-and-review-treehouse-of-horror-iii.16267/
Itchy & Scratchy: The Movie|https://nohomers.net/forums/index.php?threads/rate-and-review-itchy-and-scratchy-the-movie.16274/
Marge Gets a Job|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-gets-a-job.16285/
New Kid on the Block|https://nohomers.net/forums/index.php?threads/rate-and-review-new-kid-on-the-block.16300/
Mr. Plow|https://nohomers.net/forums/index.php?threads/rate-and-review-mr-plow.16305/
Lisa's First Word|https://nohomers.net/forums/index.php?threads/rate-and-review-lisas-first-word.16308/
Homer's Triple Bypass|https://nohomers.net/forums/index.php?threads/rate-and-review-homers-triple-bypass.16343/
Marge vs. the Monorail|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-vs-the-monorail.16361/
Selma's Choice|https://nohomers.net/forums/index.php?threads/rate-and-review-selmas-choice.16371/
Brother From the Same Planet|https://nohomers.net/forums/index.php?threads/r-r-brother-from-the-same-planet.21303/
I Love Lisa|https://nohomers.net/forums/index.php?threads/rate-and-review-i-love-lisa.16410/
Duffless|https://nohomers.net/forums/index.php?threads/rate-and-review-duffless.16413/
Last Exit to Springfield|https://nohomers.net/forums/index.php?threads/r-r-last-exit-to-springfield.13766/
So It's Come To This: A Simpsons Clip Show|https://nohomers.net/forums/index.php?threads/rate-review-so-its-come-to-this-a-simpsons-clip-show.11587/
The Front|https://nohomers.net/forums/index.php?threads/rate-review-the-front.10871/
Whacking Day|https://nohomers.net/forums/index.php?threads/rate-and-review-whacking-day.16479/
Marge in Chains|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-in-chains.16490/
Krusty Gets Kancelled|https://nohomers.net/forums/index.php?threads/rate-review-krusty-gets-kancelled.22940/
Homer's Barbershop Quartet|https://nohomers.net/forums/index.php?threads/rate-review-homers-barbershop-quartet.22955/
Cape Feare|https://nohomers.net/forums/index.php?threads/rate-review-cape-feare.12941/
Homer Goes To College|https://nohomers.net/forums/index.php?threads/r-r-homer-goes-to-college.19350/
Rosebud|https://nohomers.net/forums/index.php?threads/r-r-rosebud-most-absurd-episode-ever.17788/
Treehouse Of Horror IV|https://nohomers.net/forums/index.php?threads/rate-review-treehouse-of-horror-iv.12297/
Marge On The Lam|https://nohomers.net/forums/index.php?threads/r-r-marge-on-the-lam.20330/
Bart's Inner Child|https://nohomers.net/forums/index.php?threads/r-r-barts-inner-child.15461/
Boy-Scoutz 'n the Hood|https://nohomers.net/forums/index.php?threads/rate-and-review-boy-scoutz-n-the-hood-1f06.13438/
The Last Temptation of Homer|https://nohomers.net/forums/index.php?threads/r-r-the-last-temptation-of-homer.17591/
$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)|https://nohomers.net/forums/index.php?threads/rate-review-pringfield.13233/
Homer the Vigilante|https://nohomers.net/forums/index.php?threads/rate-review-homer-the-vigilante.12734/
Bart Gets Famous|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-famous.21119/
Homer and Apu|https://nohomers.net/forums/index.php?threads/r-r-homer-and-apu.21047/
Lisa vs. Malibu Stacy|https://nohomers.net/forums/index.php?threads/r-r-lisa-vs-malibu-stacy.20090/
Deep Space Homer|https://nohomers.net/forums/index.php?threads/r-r-deep-space-homer.13822/
Homer Loves Flanders|https://nohomers.net/forums/index.php?threads/rate-review-homer-loves-flanders.17919/
Bart Gets an Elephant|https://nohomers.net/forums/index.php?threads/rate-review-bart-gets-an-elephant.18716/
Burns' Heir|https://nohomers.net/forums/index.php?threads/rate-review-burns-heir.22091/
Sweet Seymour Skinner's Baadasssss Song|https://nohomers.net/forums/index.php?threads/r-r-sweet-seymour-skinners-baadasssss-song.18642/
The Boy Who Knew Too Much|https://nohomers.net/forums/index.php?threads/rate-and-review-the-boy-who-knew-too-much.18167/
Lady Bouvier's Lover|https://nohomers.net/forums/index.php?threads/rate-review-lady-bouviers-lover.23329/
Secrets of a Successful Marriage|https://nohomers.net/forums/index.php?threads/r-r-secrets-of-a-successful-marriage.23065/
Bart Of Darkness|https://nohomers.net/forums/index.php?threads/r-r-bart-of-darkness.18696/
Lisa's Rival|https://nohomers.net/forums/index.php?threads/rate-review-lisas-rival.21395/
Another Simpsons Clip Show|https://nohomers.net/forums/index.php?threads/rate-review-another-simpsons-clip-show.20651/
Itchy and Scratchy Land|https://nohomers.net/forums/index.php?threads/r-r-itchy-and-scratchy-land.22786/
Sideshow Bob Roberts|https://nohomers.net/forums/index.php?threads/rate-and-review-sideshow-bob-roberts.20030/
Treehouse Of Horror V|https://nohomers.net/forums/index.php?threads/r-r-for-treehouse-of-horror-v.23488/
Bart's Girlfriend|https://nohomers.net/forums/index.php?threads/rate-and-review-barts-girlfriend.23018/
Lisa On Ice|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-on-ice.20299/
Homer: Badman|https://nohomers.net/forums/index.php?threads/r-r-homer-badman.18290/
Grampa vs Sexual Inadequacy|https://nohomers.net/forums/index.php?threads/rate-review-grampa-vs-sexual-inadequacy.10554/
Fear Of Flying|https://nohomers.net/forums/index.php?threads/rate-and-review-fear-of-flying.18311/
Homer the Great|https://nohomers.net/forums/index.php?threads/homer-the-great.19626/
And Maggie Makes Three|https://nohomers.net/forums/index.php?threads/rate-review-and-maggie-makes-three.13713/
Bart's Comet|https://nohomers.net/forums/index.php?threads/barts-comet.21479/
Homie The Clown|https://nohomers.net/forums/index.php?threads/rate-and-review-homie-the-clown.14598/
Bart vs Australia|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-vs-australia.13118/
Homer vs. Patty & Selma|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-patty-and-selma.23335/
A Star is Burns|https://nohomers.net/forums/index.php?threads/r-r-a-star-is-burns.23305/
Lisa's Wedding|https://nohomers.net/forums/index.php?threads/rate-and-review-lisas-wedding.13760/
Two Dozen and One Greyhounds|https://nohomers.net/forums/index.php?threads/rate-and-review-two-dozen-one-greyhounds-2f18.13429/
The PTA Disbands|https://nohomers.net/forums/index.php?threads/rate-review-the-pta-disbands.18640/
'Round Springfield|https://nohomers.net/forums/index.php?threads/r-r-round-springfield.20410/
The Springfield Connection|https://nohomers.net/forums/index.php?threads/r-r-the-springfield-connection.15769/
Lemon of Troy|https://nohomers.net/forums/index.php?threads/rate-and-review-the-lemon-of-troy.14865/
Who Shot Mr Burns? (Part One)|https://nohomers.net/forums/index.php?threads/r-r-who-shot-mr-burns-part-one.16580/
Who Shot Mr Burns? (Part Two)|https://nohomers.net/forums/index.php?threads/r-r-who-shot-mr-burns-part-two.16581/%22
Radioactive Man|https://nohomers.net/forums/index.php?threads/rate-review-radioactive-man.18882/
Home Sweet Home Diddly-Dum-Doodily|https://nohomers.net/forums/index.php?threads/r-r-home-sweet-homediddly-dum-doodily.21937/
Bart Sells His Soul|https://nohomers.net/forums/index.php?threads/bart-sells-his-soul.19033/
Lisa The Vegetarian|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-vegetarian.15942/
Treehouse Of Horror VI|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-vi.18728/
King Size Homer|https://nohomers.net/forums/index.php?threads/rate-and-review-king-size-homer.10968/
Mother Simpson|https://nohomers.net/forums/index.php?threads/r-r-mother-simpson.18122/
Sideshow Bob's Last Gleaming|https://nohomers.net/forums/index.php?threads/r-r-sideshow-bobs-last-gleaming.23492/
The Simpsons 138th Episode Spectacular|https://nohomers.net/forums/index.php?threads/rate-and-review-simpsons-138th-episode-spectacular.13677/
Marge Be Not Proud|https://nohomers.net/forums/index.php?threads/r-r-marge-be-not-proud.17700/
Team Homer|https://nohomers.net/forums/index.php?threads/rate-review-team-homer.11715/
Two Bad Neighbours|https://nohomers.net/forums/index.php?threads/r-r-two-bad-neighbours.16763/
Scenes From the Class Struggle in Springfield|https://nohomers.net/forums/index.php?threads/r-r-scenes-from-the-class-struggle-in-springfield.19503/
Bart the Fink|https://nohomers.net/forums/index.php?threads/r-r-bart-the-fink.16737/
Lisa the Iconoclast|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-iconoclast.18583/
Homer the Smithers|https://nohomers.net/forums/index.php?threads/r-r-homer-the-smithers.16473/
The Day The Violence Died|https://nohomers.net/forums/index.php?threads/rate-and-review-the-day-violence-died.18787/
A Fish Caled Selma|https://nohomers.net/forums/index.php?threads/rate-review-a-fish-called-selma.18887/
Bart on the Road|https://nohomers.net/forums/index.php?threads/r-r-bart-on-the-road.17796/
22 Short Films About Springfield|https://nohomers.net/forums/index.php?threads/rate-review-22-short-films-about-springfield.17912/
"Raging Abe Simpson and his Grumbling Grandson in ""The Curse of the Flying Helfish"""|https://nohomers.net/forums/index.php?threads/r-r-raging-abe-simpson-and-his-grumbling-grandson-in-curse-of-the-flying-hellfish.22400/
Much Apu About Nothing|https://nohomers.net/forums/index.php?threads/r-r-much-apu-about-nothing.22983/
Homerpalooza|https://nohomers.net/forums/index.php?threads/rate-review-homerpalooza.11120/
Summer of 4ft 2|https://nohomers.net/forums/index.php?threads/rate-and-review-summer-of-the-4-2.23092/
Treehouse Of Horror VII|https://nohomers.net/forums/index.php?threads/rate-and-review-treehouse-of-horror-vii.20163/
You Only Move Twice|https://nohomers.net/forums/index.php?threads/r-r-you-only-move-twice.18199/
The Homer They Fall|https://nohomers.net/forums/index.php?threads/r-r-homer-they-fall.16774/
Burns, Baby Burns|https://nohomers.net/forums/index.php?threads/rate-and-review-burns-baby-burns.18429/
Bart After Dark|https://nohomers.net/forums/index.php?threads/rate-review-bart-after-dark.22816/
A Milhouse Divided|https://nohomers.net/forums/index.php?threads/rate-and-review-a-milhouse-divided.18307/
Lisa's Date With Density|https://nohomers.net/forums/index.php?threads/r-r-lisas-date-with-density.20126/
Hurricane Neddy|https://nohomers.net/forums/index.php?threads/r-r-hurricane-neddy.18801/
El Viaje Misterioso de Nuestro Jomer|https://nohomers.net/forums/index.php?threads/r-r-el-viaje-misterioso-du-nuestro-jomer.16018/
The Springfield Files|https://nohomers.net/forums/index.php?threads/rate-review-the-springfield-files.5700/
The Twisted World of Marge Simpson|https://nohomers.net/forums/index.php?threads/rate-review-the-twisted-world-of-marge-simpson.21931/
Mountain of Madness|https://nohomers.net/forums/index.php?threads/r-r-mountain-of-madness.21276/
Simpsoncalifragilisticexpila(Annoyed Grunt)cious|https://nohomers.net/forums/index.php?threads/rate-review-simpsoncalifragilisticexpiala-annoyed-grunt-cious.13597/
The Itchy and Scratchy and Poochie Show|https://nohomers.net/forums/index.php?threads/r-r-the-itchy-and-scratchy-and-poochie-show.20517/
Homer's Phobia|https://nohomers.net/forums/index.php?threads/r-r-homers-phobia.18387/
Brother From Another Series|https://nohomers.net/forums/index.php?threads/rate-and-review-brother-from-another-series.19736/
My Sister, My Sitter|https://nohomers.net/forums/index.php?threads/r-r-my-sister-my-sitter.19454/
Homer vs. the 18th Amendment|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-the-eighteenth-amendment.18634/
Grade School Confidential|https://nohomers.net/forums/index.php?threads/r-r-grade-school-confidential.23498/
The Canine Mutiny|https://nohomers.net/forums/index.php?threads/r-r-the-canine-mutiny.20490/
The Old Man and the Lisa|https://nohomers.net/forums/index.php?threads/rate-and-review-the-old-man-and-the-lisa.21466/
In Marge We Trust|https://nohomers.net/forums/index.php?threads/rate-and-review-in-marge-we-trust.15764/
Homer's Enemy|https://nohomers.net/forums/index.php?threads/r-r-homers-enemy.19320/
The Simpsons Spinoff Showcase|https://nohomers.net/forums/index.php?threads/rate-and-review-simpsons-spinoff-showcase.18631/
The Secret War of Lisa Simpson|https://nohomers.net/forums/index.php?threads/the-secret-war-of-lisa-simpson.19584/
The City of New York vs. Homer Simpson|https://nohomers.net/forums/index.php?threads/r-r-the-city-of-new-york-vs-homer-simpson.20274/
The Principal and the Pauper|https://nohomers.net/forums/index.php?threads/rate-and-review-the-principal-and-the-pauper.18413/
Lisa's Sax|https://nohomers.net/forums/index.php?threads/r-r-lisas-sax.18528/
Treehouse of Horror VIII|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-viii.14585/
The Cartridge Family|https://nohomers.net/forums/index.php?threads/rate-and-review-the-cartridge-family.19542/
Bart Star|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-star.18395/
The Two Mrs. Nahasapeemapetilons|https://nohomers.net/forums/index.php?threads/r-r-the-two-mrs-nahasapeemapetilons.23503/
Lisa the Skeptic|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-skeptic.18549/
Realty Bites|https://nohomers.net/forums/index.php?threads/r-r-realty-bites.21193/
All Singing, All Dancing|https://nohomers.net/forums/index.php?threads/all-singing-all-dancing.18585/
Miracle on Evergreen Terrace|https://nohomers.net/forums/index.php?threads/r-r-miracle-on-evergreen-terrace.19981/
Bart Carny|https://nohomers.net/forums/index.php?threads/r-r-bart-carny.18853/
The Joy of Sect|https://nohomers.net/forums/index.php?threads/rate-review-the-joy-of-sect.22454/
Das Bus|https://nohomers.net/forums/index.php?threads/rate-review-das-bus.22803/
The Last Temptation of Krust|https://nohomers.net/forums/index.php?threads/r-r-the-last-temptation-of-krust.14840/
Dumbbell Indemnity|https://nohomers.net/forums/index.php?threads/r-r-dumbbell-indemnity.18718/
Lisa the Simpson|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-simpson.19654/
This Little Wiggy|https://nohomers.net/forums/index.php?threads/r-r-this-little-wiggy.21210/
Simpson Tide|https://nohomers.net/forums/index.php?threads/rate-review-simpson-tide.17459/
The Trouble With Trillions|https://nohomers.net/forums/index.php?threads/r-r-trouble-with-trillions.15593/
Girly Edition|https://nohomers.net/forums/index.php?threads/girly-edition-do-you-like-it-or-hate-it.22361/
Trash of the Titans|https://nohomers.net/forums/index.php?threads/r-r-trash-of-the-titans.19779/
King of the Hill|https://nohomers.net/forums/index.php?threads/rate-and-review-king-of-the-hill.18405/
